imdb_id,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
tt1587310,6.9,420347,56.0,54.0,PG,241410378.0,Nominated for 1 Oscar. 12 wins & 44 nominations total
tt1951265,6.6,541925,64.0,70.0,PG-13,337135885.0,21 wins & 32 nominations total
tt0892791,6.3,243636,58.0,58.0,PG,238736787.0,1 win & 13 nominations total
tt1386697,5.9,758745,40.0,26.0,PG-13,325100054.0,Won 1 Oscar. 18 wins & 41 nominations total
tt1877832,7.9,786991,75.0,90.0,PG-13,233921534.0,Nominated for 1 Oscar. 16 wins & 48 nominations total
tt1277953,6.8,215044,60.0,78.0,PG,216391482.0,3 wins & 20 nominations total
tt0816692,8.7,2516752,74.0,73.0,PG-13,203227580.0,Won 1 Oscar. 45 wins & 148 nominations total
tt0363771,6.9,450246,75.0,76.0,PG,291710957.0,Won 1 Oscar. 18 wins & 46 nominations total
tt1453405,7.2,421121,65.0,80.0,G,268492764.0,Nominated for 2 BAFTA 9 wins & 58 nominations total
tt10627720,7.3,21890,56.0,88.0,Not Rated,3695533.0,21 wins & 26 nominations total
tt0234215,7.2,666077,62.0,74.0,R,281576461.0,8 wins & 34 nominations total
tt1049413,8.3,1225827,88.0,98.0,PG,293004164.0,Won 2 Oscars. 81 wins & 88 nominations total
tt32820897,8.4,64082,67.0,98.0,R,134519077.0,2 wins & 7 nominations total
tt5433138,5.2,179684,58.0,59.0,PG-13,173005945.0,2 wins & 13 nominations total
tt1454468,7.7,895643,96.0,96.0,PG-13,274092705.0,Won 7 Oscars. 240 wins & 188 nominations total
tt13186482,6.6,80914,56.0,56.0,PG,254567693.0,1 win & 18 nominations total
tt1396484,7.3,694027,69.0,85.0,R,328874981.0,12 wins & 49 nominations total
tt1872181,6.6,588917,53.0,50.0,PG-13,203605622.0,4 wins & 30 nominations total
tt15239678,8.4,734902,79.0,92.0,PG-13,282144358.0,Won 2 Oscars. 125 wins & 376 nominations total
tt1843866,7.7,970692,70.0,90.0,PG-13,259766572.0,Nominated for 1 Oscar. 5 wins & 52 nominations total
tt1324999,4.9,271400,45.0,25.0,PG-13,281797623.0,11 wins & 22 nominations total
tt2103281,7.6,508717,79.0,91.0,PG-13,208545589.0,Nominated for 1 Oscar. 17 wins & 48 nominations total
tt1259571,4.8,320139,44.0,28.0,PG-13,298410482.0,23 wins & 24 nominations total
tt0418279,7.1,714583,61.0,57.0,PG-13,319246193.0,Nominated for 3 Oscars. 25 wins & 50 nominations total
tt5433140,5.7,145538,56.0,56.0,PG-13,146126015.0,2 wins & 24 nominations total
tt1325004,5.1,279535,58.0,46.0,PG-13,300840764.0,23 wins & 35 nominations total
tt1229238,7.4,565615,73.0,93.0,PG-13,209397903.0,5 wins & 30 nominations total
tt1392170,7.2,1074757,68.0,84.0,PG-13,408010692.0,Won 1 BAFTA Award34 wins & 49 nominations total
tt9362722,8.5,509515,86.0,95.0,PG,381593754.0,Nominated for 1 Oscar. 107 wins & 164 nominations total
tt3521164,7.6,436011,81.0,95.0,PG,248757044.0,Nominated for 2 Oscars. 22 wins & 90 nominations total
tt33612209,6.5,73728,63.0,,PG-13,220505976.0,2 wins & 4 nominations total
tt10370822,5.6,3028,,60.0,R,,5 wins & 5 nominations total
tt12042730,8.2,433769,77.0,94.0,PG-13,344050007.0,7 wins & 11 nominations total
tt2381249,7.4,445302,75.0,94.0,PG-13,195042377.0,6 wins & 26 nominations total
tt0109830,8.8,2493306,82.0,75.0,PG-13,330455270.0,Won 6 Oscars. 51 wins & 74 nominations total
tt1211837,7.5,877590,72.0,89.0,PG-13,232641920.0,Nominated for 1 Oscar. 21 wins & 68 nominations total
tt21148018,6.4,3918,75.0,94.0,Not Rated,,27 wins & 22 nominations total
tt0167404,8.2,1136530,64.0,86.0,PG-13,293506292.0,Nominated for 6 Oscars. 37 wins & 56 nominations total
tt32536035,,8,,,N/A,,N/A
tt0770828,7.1,865769,55.0,56.0,PG-13,291045518.0,Nominated for 1 BAFTA Award. 7 wins & 46 nominations total
tt1302011,7.3,349971,67.0,82.0,PG,165249063.0,Nominated for 1 Oscar. 5 wins & 47 nominations total
tt13539646,6.7,16204,56.0,83.0,Not Rated,5023132.0,39 wins & 32 nominations total
tt0974015,6.0,502540,45.0,39.0,PG-13,229024295.0,2 wins & 15 nominations total
tt0438097,6.8,316256,59.0,56.0,PG,195330621.0,8 wins & 16 nominations total
tt2245084,7.8,548572,74.0,90.0,PG,222527828.0,Won 1 Oscar. 17 wins & 58 nominations total
tt38035835,,112,,,N/A,,1 win total
